x,y,z,reward
0.3006343031569921,0.3639502955840736,0.7005559097350949,-48.05965649187871
0.30284549055217136,0.364243611325677,0.6969338031333977,-48.369628459124286
0.30686799917420615,0.36477982039418533,0.6924584727720754,-48.67397157216837
0.3114353512948165,0.3657877099290805,0.6876125620511935,-48.9719112287883
0.3166173750811384,0.3685915297661182,0.680593479213413,-49.260894581086916
0.32290667639970067,0.3713767993283983,0.6740090360501655,-49.54051059930103
0.32765460956634074,0.3739566718199681,0.6677117427450209,-49.812019499407455
0.3327319647592981,0.3734705775750286,0.663773580806289,-50.07812112684065
0.3371133409774891,0.37432192572389517,0.6599896080247971,-50.33874291548695
0.34062020593371695,0.37842099045168676,0.6539189522534958,-50.59147680356327
0.3439779496664922,0.3804087977901734,0.6502584255148557,-50.83890867352845
0.34506426133822166,0.37960246869492786,0.6510079740582415,-51.08650523426426
0.3454063944952196,0.3796335828007084,0.6506689142741392,-51.333665868227094
0.34584014598493984,0.3802729407230587,0.6493527457109556,-51.57944233570201
0.3447621939546757,0.3798344817006794,0.6496317074650615,-51.82627867033049
0.3461210004331677,0.3777850985247011,0.6500481215838951,-52.07352281574381
0.348799538373497,0.37531475228880634,0.6506977806046346,-52.32074298416061
0.3527984867291769,0.37330588595623737,0.6490865874324453,-52.565582716628214
0.35653841591165686,0.37436309864758277,0.6453254538990093,-52.8053437323116
0.35984593403849585,0.3738339692786082,0.6431790275202944,-53.04211633088498
0.35887819965050927,0.37407524983306034,0.6443798461165442,-53.28006158762091
0.3572226447359666,0.37708244833114973,0.643416029572407,-53.51683628057345
0.3543816852304422,0.3815500353770782,0.6421875201763448,-53.75231956789847
0.3537055993780064,0.38255247781078644,0.6422549215086282,-53.98776050489788
0.3513664269103984,0.3837588607331047,0.6435433373198356,-54.22484410027378
0.3498985396624488,0.38252460306809233,0.6453982618101012,-54.464576392252084
0.3462570243756184,0.38233780430683423,0.648420888633493,-54.70852322054041
0.34211272286137034,0.381008545065209,0.6528534463903913,-54.958426271148376
0.33715353573635715,0.3799490311701272,0.6566205374723791,-55.214280133339855
0.3328835060598605,0.37753089201705303,0.6611232955075393,-55.47674407622
0.3278143229578049,0.3741411529864255,0.6671328002206367,-55.74770851975394
0.32555405618465716,0.3703961096797724,0.6715054814370682,-56.02455267422126
0.3237926563999548,0.3679782194765341,0.6740362695446187,-56.30520798165046
0.3226253108006869,0.3644473509003492,0.6766659906931849,-56.58989583406797
