episode,total_reward
528.0,-326.89558963897707
529.0,-330.2900019092694
530.0,-297.11126702622073
531.0,-255.85536868057676
532.0,-358.9102821110649
533.0,-371.48677810909544
534.0,-341.71907330767925
535.0,-274.2454170354133
536.0,-265.15053152344075
537.0,-276.21423998158923
538.0,-261.19390139390134
539.0,-262.63670755317065
540.0,-319.1873867296489
541.0,-314.8854365361832
542.0,-319.68818442663445
543.0,-292.82602020783315
544.0,-277.2550115742347
545.0,-283.3023532492093
546.0,-263.54245107594886
547.0,-262.1730942226647
548.0,-244.11028792374572
549.0,-375.0285851074008
550.0,-293.90670734222016
551.0,-296.0555035718001
552.0,-249.97073993011412
553.0,-254.06370468190687
554.0,-249.40115346660042
555.0,-342.68622471762126
556.0,-281.9894638298971
557.0,-236.92745528018418
558.0,-242.79363269784693
559.0,-241.07278770044385
560.0,-229.83299019260068
561.0,-227.06500566930492
562.0,-235.9667192750806
563.0,-242.03116365219134
564.0,-247.01408448761708
565.0,-250.76641912822396
566.0,-224.34199891204847
567.0,-249.72318880723154
568.0,-245.56064413433646
569.0,-249.9595358146046
570.0,-250.4503877617443
571.0,-241.28707113841276
572.0,-246.26446195397418
573.0,-239.99189407504625
574.0,-247.5844041243274
575.0,-238.9939718250076
576.0,-238.4932898057666
577.0,-351.4246425366476
578.0,-255.2449033915114
579.0,-264.6793997305971
580.0,-235.35672916827917
581.0,-219.33809354158075
582.0,-209.17455297527724
583.0,-219.77145153495678
584.0,-211.8019443362197
585.0,-211.34298635406174
586.0,-217.55391267895152
587.0,-221.8424832954464
588.0,-223.84211113097922
589.0,-222.08841875439305
590.0,-217.05785015243399
591.0,-211.9225791599069
592.0,-209.6291230198354
593.0,-219.48174718932387
594.0,-697.9086269319745
595.0,-837.1520009625693
596.0,-787.9529092812004
597.0,-785.2450957531905
598.0,-774.6663333459298
599.0,-749.3834306948849
600.0,-744.8526230536809
601.0,-671.9336840340546
602.0,-719.6563422270148
603.0,-688.9522626614007
604.0,-679.1374855713517
605.0,-681.19193647899
606.0,-643.5111594258859
607.0,-651.0377898169979
608.0,-594.6701405302799
609.0,-619.5286815575909
610.0,-620.8582929832243
611.0,-618.2583508657605
612.0,-615.741113359329
613.0,-607.6874324229734
614.0,-591.9190170974742
615.0,-608.9955318674993
616.0,-607.9049929168816
617.0,-581.219516350069
618.0,-575.3400371865298
619.0,-579.6701207506854
620.0,-575.7809579973544
621.0,-566.8122825707696
622.0,-240.48530492263492
623.0,-263.3173401358214
624.0,-258.6069146932771
625.0,-247.71032747508713
626.0,-232.86530201576502
627.0,-241.33601556603486
628.0,-249.45927031564545
629.0,-235.3044688568978
630.0,-187.79884298116664
631.0,-222.5228740540701
632.0,-215.9442552736939
633.0,-230.92773653941032
634.0,-194.84510809370906
635.0,-244.01089432878734
636.0,-219.94269110058073
637.0,-218.117266599282
638.0,-230.18527024491445
639.0,-225.2759447303244
640.0,-218.5079507428856
641.0,-179.71295393854155
642.0,-248.39031895642017
643.0,-238.73608788406176
644.0,-182.5947931879803
645.0,-235.3387390277536
646.0,-251.6084727904911
647.0,-249.70963881718322
648.0,-202.27477401186275
649.0,-231.70207149207903
650.0,-243.87267621015425
651.0,-233.56216137846607
652.0,-222.48339728922664
653.0,-230.1319557412549
654.0,-240.7245701829612
655.0,-224.39614381298537
656.0,-217.84658536662405
657.0,-217.99583776261264
658.0,-225.42978362456373
659.0,-243.4666004031341
660.0,-218.03375774111464
661.0,-224.24743298748615
662.0,-226.89152073198773
663.0,-225.7452362673823
664.0,-220.52531082609275
665.0,-227.84168354383274
666.0,-213.70739078693163
667.0,-211.08816103817574
668.0,-230.24000237592162
669.0,-222.493837234521
670.0,-224.44710537413388
671.0,-270.81660876118076
672.0,-278.4617126509243
673.0,-225.1945972139464
674.0,-224.80131656688633
675.0,-218.42894175313054
676.0,-221.0003311969649
677.0,-286.1332241925352
678.0,-279.4654125385689
679.0,-272.14388702579913
680.0,-247.05164616773044
681.0,-276.04925829541577
682.0,-257.38801420951785
683.0,-242.07526339282376
684.0,-226.47493536464984
685.0,-223.2597506857856
686.0,-229.42974939684746
687.0,-222.28864038445235
688.0,-215.7246591384877
689.0,-218.86889094802964
690.0,-211.0802152434539
691.0,-223.06860593372608
692.0,-214.46649820378923
693.0,-227.3643315814587
694.0,-219.10536326521526
695.0,-211.3835882515597
696.0,-224.3057508620184
697.0,-221.8418903849165
698.0,-222.37151033619753
699.0,-221.82903725406618
700.0,-219.0354830591199
701.0,-215.6378021678203
702.0,-222.55900827682214
703.0,-223.1443585346254
704.0,-223.6609218731046
705.0,-216.73201752033285
706.0,-221.825743607615
707.0,-223.38510520433675
708.0,-215.57650030259765
709.0,-291.72333704807977
710.0,-271.6666804427516
711.0,-231.28970023690707
712.0,-251.69571188530676
713.0,-224.634272689877
714.0,-217.2079914448482
715.0,-217.16339623686648
716.0,-224.9614380650214
717.0,-233.71600628108743
718.0,-286.3472608118946
719.0,-271.73226529808244
720.0,-252.4620639906322
721.0,-283.3379190156377
722.0,-264.3066806365644
723.0,-275.1466524122556
724.0,-203.09711364825802
